YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-07,WEEKENDS/HOLIDAY,18,BUS,63299,432,869
2026-07,WEEKENDS/HOLIDAY,10,BUS,50121,88,60
2026-07,WEEKDAY,15,BUS,43499,1365,2313
2026-07,WEEKDAY,12,BUS,66429,1809,419
2026-07,WEEKENDS/HOLIDAY,8,BUS,46991,60,133
2026-07,WEEKENDS/HOLIDAY,8,BUS,84691,68,8
2026-07,WEEKDAY,7,BUS,64331,3661,755
2026-07,WEEKENDS/HOLIDAY,21,BUS,46429,121,29
2026-07,WEEKDAY,0,BUS,14169,46,195
2026-07,WEEKENDS/HOLIDAY,15,BUS,22479,30,163
2026-07,WEEKDAY,9,BUS,28519,4352,5333
2026-07,WEEKENDS/HOLIDAY,22,BUS,54579,151,131
2026-07,WEEKENDS/HOLIDAY,20,BUS,84039,1870,2026
2026-07,WEEKDAY,18,BUS,54211,1203,1575
2026-07,WEEKENDS/HOLIDAY,8,BUS,59229,48,45
2026-07,WEEKDAY,21,BUS,10189,518,1592
2026-07,WEEKDAY,6,BUS,80239,2,283
2026-07,WEEKDAY,5,BUS,44031,1,1214
2026-07,WEEKENDS/HOLIDAY,6,BUS,17321,318,52
2026-07,WEEKENDS/HOLIDAY,5,BUS,11051,31,10
2026-07,WEEKENDS/HOLIDAY,11,BUS,28611,112,23
2026-07,WEEKENDS/HOLIDAY,22,BUS,75299,121,101
2026-07,WEEKDAY,17,BUS,17221,1109,1600
2026-07,WEEKENDS/HOLIDAY,10,BUS,51071,1194,811
2026-07,WEEKDAY,9,BUS,92139,836,342
2026-07,WEEKENDS/HOLIDAY,20,BUS,78219,104,262
2026-07,WEEKDAY,18,BUS,44651,103,2115
2026-07,WEEKENDS/HOLIDAY,17,BUS,63089,345,227
2026-07,WEEKENDS/HOLIDAY,16,BUS,75529,5,126
2026-07,WEEKENDS/HOLIDAY,21,BUS,17329,86,87
2026-07,WEEKENDS/HOLIDAY,13,BUS,84329,147,132
2026-07,WEEKDAY,20,BUS,47579,205,475
2026-07,WEEKENDS/HOLIDAY,13,BUS,63091,210,271
2026-07,WEEKDAY,23,BUS,33011,0,5
2026-07,WEEKENDS/HOLIDAY,21,BUS,27209,22,21
2026-07,WEEKENDS/HOLIDAY,11,BUS,10041,658,900
2026-07,WEEKENDS/HOLIDAY,14,BUS,65199,4679,4376
2026-07,WEEKDAY,10,BUS,22029,15,6
2026-07,WEEKDAY,12,BUS,46649,254,826
2026-07,WEEKDAY,11,BUS,67119,1132,324
2026-07,WEEKDAY,9,BUS,21349,3,14
2026-07,WEEKENDS/HOLIDAY,9,BUS,77329,18,176
2026-07,WEEKENDS/HOLIDAY,19,BUS,84651,28,1085
2026-07,WEEKDAY,21,BUS,70251,1565,1277
2026-07,WEEKENDS/HOLIDAY,12,BUS,60251,166,190
2026-07,WEEKENDS/HOLIDAY,7,BUS,64391,321,108
2026-07,WEEKENDS/HOLIDAY,14,BUS,64151,35,17
2026-07,WEEKDAY,0,BUS,46529,63,13
2026-07,WEEKENDS/HOLIDAY,0,BUS,76171,3,25
2026-07,WEEKDAY,7,BUS,27501,1121,149
2026-07,WEEKENDS/HOLIDAY,21,BUS,65379,64,90
2026-07,WEEKDAY,7,BUS,82159,433,107
2026-07,WEEKDAY,16,BUS,16069,1265,421
2026-07,WEEKENDS/HOLIDAY,9,BUS,11589,149,76
2026-07,WEEKDAY,17,BUS,49141,393,13
2026-07,WEEKDAY,21,BUS,58119,278,1296
2026-07,WEEKDAY,22,BUS,34009,5,4
2026-07,WEEKENDS/HOLIDAY,10,BUS,03059,112,370
2026-07,WEEKENDS/HOLIDAY,1,BUS,64049,0,24
2026-07,WEEKENDS/HOLIDAY,22,BUS,59409,132,515
2026-07,WEEKDAY,17,BUS,50061,945,1278
2026-07,WEEKDAY,9,BUS,49051,11,62
2026-07,WEEKDAY,6,BUS,55211,1,224
2026-07,WEEKENDS/HOLIDAY,9,BUS,68019,648,338
2026-07,WEEKENDS/HOLIDAY,0,BUS,15151,0,2
2026-07,WEEKDAY,22,BUS,46529,2783,337
2026-07,WEEKENDS/HOLIDAY,23,BUS,27221,34,0
2026-07,WEEKENDS/HOLIDAY,10,BUS,66481,655,403
2026-07,WEEKDAY,0,BUS,02029,33,25
2026-07,WEEKENDS/HOLIDAY,8,BUS,60199,389,651
2026-07,WEEKENDS/HOLIDAY,15,BUS,53039,504,421
2026-07,WEEKDAY,15,BUS,01611,585,588
2026-07,WEEKDAY,12,BUS,27181,46,204
2026-07,WEEKDAY,13,BUS,22441,584,1261
2026-07,WEEKDAY,16,BUS,28529,1506,1990
2026-07,WEEKDAY,14,BUS,55251,190,381
2026-07,WEEKENDS/HOLIDAY,23,BUS,58991,16,397
2026-07,WEEKENDS/HOLIDAY,0,BUS,51111,4,7
2026-07,WEEKENDS/HOLIDAY,20,BUS,71181,7,12
2026-07,WEEKENDS/HOLIDAY,8,BUS,58299,112,96
2026-07,WEEKENDS/HOLIDAY,17,BUS,10239,617,334
